Frequency,CPIHOSNS
2015-08-01,239.298
2015-09-01,239.651
2015-10-01,239.395
2015-11-01,239.325
2015-12-01,239.514
2016-01-01,240.424
2016-02-01,241.015
2016-03-01,241.485
2016-04-01,241.79
2016-05-01,242.811
2016-06-01,244.28
2016-07-01,244.936
2016-08-01,245.472
2016-09-01,246.127
2016-10-01,246.264
2016-11-01,246.271
2016-12-01,246.795
2017-01-01,247.942
2017-02-01,248.693
2017-03-01,248.978
2017-04-01,249.514
2017-05-01,250.376
2017-06-01,251.629
2017-07-01,251.87
2017-08-01,252.615
2017-09-01,252.984
2017-10-01,253.125
2017-11-01,253.177
2017-12-01,253.845
2018-01-01,254.857
2018-02-01,255.713
2018-03-01,256.388
2018-04-01,256.969
2018-05-01,257.907
2018-06-01,258.71
2018-07-01,259.268
2018-08-01,259.884
2018-09-01,259.941
2018-10-01,260.268
2018-11-01,260.473
2018-12-01,261.36
2019-01-01,262.284
2019-02-01,263.057
2019-03-01,263.886
2019-04-01,264.452
2019-05-01,265.137
2019-06-01,266.461
2019-07-01,267.101
2019-08-01,267.263
2019-09-01,267.822
2019-10-01,267.794
2019-11-01,267.925
2019-12-01,268.236
2020-01-01,269.468
2020-02-01,270.281
2020-03-01,270.273
2020-04-01,270.184
2020-05-01,270.823
2020-06-01,271.831
2020-07-01,272.445
2020-08-01,272.866
2020-09-01,273.116
2020-10-01,273.014
2020-11-01,273.29
2020-12-01,273.684
2021-01-01,274.336
2021-02-01,275.137
2021-03-01,276.028
2021-04-01,277.258
2021-05-01,278.648
2021-06-01,280.366
2021-07-01,281.604
2021-08-01,282.391
2021-09-01,283.744
2021-10-01,285.31
2021-11-01,286.308
2021-12-01,287.511
2022-01-01,289.889
2022-02-01,291.504
2022-03-01,293.577
2022-04-01,295.259
2022-05-01,297.868
2022-06-01,300.927
2022-07-01,302.327
2022-08-01,304.506
2022-09-01,306.521
2022-10-01,307.816
2022-11-01,308.72
2022-12-01,310.725
2023-01-01,313.747
2023-02-01,315.431
